,,,,,,,,,,,,,,
,,,,수  업  시  간  표,,,,,,,,,,
첨성인기초(독서와토론),,,,,,,,,,,2019학년도 제 1학기,,,
학년,구분,교과번호-분반,교과목명,학점,,강의,실습,   담당교수,"강의시간(요일,교시)",,,강의실,강좌관리과,
,,CLTR210-001,명저읽기와 토론,3.0 ,,3.0 ,,정우락,"월7A,7B,8A 수7A,7B,8A",,,-,인문대학,
,,CLTR210-002,명저읽기와 토론,3.0 ,,3.0 ,,윤재석,"화7A,7B,8A 목7A,7B,8A",,,KNU글로벌프라자-307,인문대학,
,,CLTR210-003,명저읽기와 토론,3.0 ,,3.0 ,,김윤동,"월7A,7B,8A 금7A,7B,8A",,,인문대학-314,인문대학,
,,CLTR210-004,명저읽기와 토론,3.0 ,,3.0 ,,박충환,"화1A,1B,2A 목2B,3A,3B",,,대학원동-315,인문대학,
,,CLTR210-005,명저읽기와 토론,3.0 ,,3.0 ,,김정일,"화1A,1B,2A 목2B,3A,3B",,,KNU글로벌프라자-308,인문대학,
,,,,,,,,윤영순,"화1A,1B,2A 목2B,3A,3B",,,KNU글로벌프라자-308,인문대학,
,,CLTR210-006,명저읽기와 토론,3.0 ,,3.0 ,,김성택,"화1A,1B,2A 목2B,3A,3B",,,인문대학-205,불어불문학과,
,,CLTR210-007,명저읽기와 토론,3.0 ,,3.0 ,,정낙림,"수8B,9A,9B 금8B,9A,9B",,,인문대학-308,철학과,
,,,,,,,,김재철,"수8B,9A,9B 금8B,9A,9B",,,인문대학-308,철학과,
,,,,,,,,권홍우,"수8B,9A,9B 금8B,9A,9B",,,인문대학-308,철학과,
,,CLTR210-008,명저읽기와 토론,3.0 ,,3.0 ,,안승택,"수1A,1B,2A 금2B,3A,3B",,,인문대학-308,고고인류학과,
,,CLTR210-009,명저읽기와 토론,3.0 ,,3.0 ,,조헌구,"화1A,1B,2A 목2B,3A,3B",,,KNU글로벌프라자-307,일어일문학과,
,,CLTR210-010,명저읽기와 토론,3.0 ,,3.0 ,,이규필,"월5B,6A,6B 금5B,6A,6B",,,KNU글로벌프라자-307,한문학과,
,,CLTR210-011,명저읽기와 토론,3.0 ,,3.0 ,,김규원,"화5B,6A,6B 목5B,6A,6B",,,사회과학대학-401,사회학과,
,,CLTR210-012,명저읽기와 토론,3.0 ,,3.0 ,,전병운,"화5B,6A,6B 목5B,6A,6B",,,사회과학대학-552,지리학과,
,,CLTR210-013,명저읽기와 토론,3.0 ,,3.0 ,,남권희,"화5B,6A,6B 목5B,6A,6B",,,사회과학대학-424,문헌정보학과,
,,CLTR210-014,명저읽기와 토론,3.0 ,,3.0 ,,허태린,"화2B,3A,3B 목1A,1B,2A",,,생명공학관(교양과정동)-211,생명공학전공,
,,CLTR210-015,명저읽기와 토론,3.0 ,,3.0 ,,이동석,"화2B,3A,3B 목1A,1B,2A",,,생명공학관(교양과정동)-104-1,생명공학전공,
,,CLTR210-016,명저읽기와 토론,3.0 ,,3.0 ,,이현식,"화2B,3A,3B 목1A,1B,2A",,,생명공학관(교양과정동)-209,생명공학전공,
,,CLTR210-017,명저읽기와 토론,3.0 ,,3.0 ,,김홍태,"화2B,3A,3B 목1A,1B,2A",,,공대2호관-408,토목공학과,
,,CLTR210-018,명저읽기와 토론,3.0 ,,3.0 ,,문준식,"화2B,3A,3B 목1A,1B,2A",,,공대2호관-420,토목공학과,
,,CLTR210-019,명저읽기와 토론,3.0 ,,3.0 ,,이영재,"화2B,3A,3B 목1A,1B,2A",,,공대2호관-102,토목공학과,
,,CLTR210-020,명저읽기와 토론,3.0 ,,3.0 ,,손철성,"화7A,7B,8A 목7A,7B,8A",,,우당교육관-112,사범대학,
,,,,,,,,김용수,"화7A,7B,8A 목7A,7B,8A",,,우당교육관-112,사범대학,
,,,,,,,,,,,,,,
,,,,수  업  시  간  표,,,,,,,,,,
첨성인기초(독서와토론),,,,,,,,,,,2019학년도 제 1학기,,,
학년,구분,교과번호-분반,교과목명,학점,,강의,실습,   담당교수,"강의시간(요일,교시)",,,강의실,강좌관리과,
,,CLTR210-021,명저읽기와 토론,3.0 ,,3.0 ,,김용수,"화7A,7B,8A 목7A,7B,8A",,,제4합동강의동-104,사범대학,
,,,,,,,,손철성,"화7A,7B,8A 목7A,7B,8A",,,제4합동강의동-104,사범대학,
,,CLTR210-022,명저읽기와 토론,3.0 ,,3.0 ,,김상현,"금7A,7B,8A 8B,9A,9B",,,제4합동강의동-210,교육학과,
,,CLTR210-024,명저읽기와 토론,3.0 ,,3.0 ,,임수원,"화1A,1B,2A 목2B,3A,3B",,,제1체육관-219,체육교육과,
,,,,,,,,이규일,"화1A,1B,2A 목2B,3A,3B",,,제1체육관-219,체육교육과,
,,CLTR210-026,명저읽기와 토론,3.0 ,,3.0 ,,권기영,"화1A,1B,2A 목2B,3A,3B",,,생활과학대학-304,의류학과,
,,CLTR210-027,명저읽기와 토론,3.0 ,,3.0 ,,전귀연,"화7A,7B,8A 목7A,7B,8A",,,생활과학대학-413,아동학부,
,,CLTR210-028,명저읽기와 토론,3.0 ,,3.0 ,,정정희,"화7A,7B,8A 목7A,7B,8A",,,생활과학대학-204,아동학부,
,,CLTR210-029,명저읽기와 토론,3.0 ,,3.0 ,,김동근,"월7A,7B,8A 8B,9A,9B",,,상주캠퍼스 도서관 및 10호관-201,산림환경자원전공,
,,,,,,,,배관호,"월7A,7B,8A 8B,9A,9B",,,상주캠퍼스 도서관 및 10호관-201,산림환경자원전공,
,,,,,,,,김판기,"월7A,7B,8A 8B,9A,9B",,,상주캠퍼스 도서관 및 10호관-201,산림환경자원전공,
,,,,,,,,김기우,"월7A,7B,8A 8B,9A,9B",,,상주캠퍼스 도서관 및 10호관-201,산림환경자원전공,
,,CLTR210-030,명저읽기와 토론,3.0 ,,3.0 ,,이동운,"목7A,7B,8A 8B,9A,9B",,,상주캠퍼스 도서관 및 10호관-201,생물응용전공,
,,,,,,,,이정래,"목7A,7B,8A 8B,9A,9B",,,상주캠퍼스 도서관 및 10호관-201,생물응용전공,
,,CLTR210-031,명저읽기와 토론,3.0 ,,3.0 ,,이동운,"월1A,1B,2A 2B,3A,3B",,,상주캠퍼스 도서관 및 10호관-201,생물응용전공,
,,,,,,,,김동흔,"월1A,1B,2A 2B,3A,3B",,,상주캠퍼스 도서관 및 10호관-201,생물응용전공,
,,,,,,,,,,,,,,
,,,,수  업  시  간  표,,,,,,,,,,
첨성인기초(독서와토론),,,,,,,,,,,2019학년도 제 1학기,,,
학년,구분,교과번호-분반,교과목명,학점,,강의,실습,   담당교수,"강의시간(요일,교시)",,,강의실,강좌관리과,
,,CLTR210-031,명저읽기와 토론,3.0 ,,3.0 ,,김영호,"월1A,1B,2A 2B,3A,3B",,,상주캠퍼스 도서관 및 10호관-201,생물응용전공,
,,CLTR210-032,명저읽기와 토론,3.0 ,,3.0 ,,권오상,"월8B,9A,9B 수7A,7B,8A",,,법과대학(법학전문대학원)-103,행정학부,
,,CLTR210-033,명저읽기와 토론,3.0 ,,3.0 ,,권오상,"화8B,9A,9B 목8B,9A,9B",,,법과대학(법학전문대학원)-103,행정학부,
,,CLTR210-034,명저읽기와 토론,3.0 ,,3.0 ,,김성균,"수1A,1B,2A 금2B,3A,3B",,,법과대학(법학전문대학원)-104,행정학부,
,,CLTR210-035,명저읽기와 토론,3.0 ,,3.0 ,,김유경,"화2B,3A,3B 목1A,1B,2A",,,인문대학-314,사학과,
,,CLTR210-036,명저읽기와 토론,3.0 ,,3.0 ,,이원하,"월5B,6A,6B 수5B,6A,6B",,,생명공학관(교양과정동)-315,생명공학전공,
,,,,,,,,,,,,,,
,,,,수  업  시  간  표,,,,,,,,,,
첨성인기초(사고교육),,,,,,,,,,,2019학년도 제 1학기,,,
학년,구분,교과번호-분반,교과목명,학점,,강의,실습,   담당교수,"강의시간(요일,교시)",,,강의실,강좌관리과,
,,CLTR045-001,논리와 비판적 사고,3.0 ,,3.0 ,,배성민,"수8B,9A,9B 금8B,9A,9B",,,인문대학-101,불어불문학과,
,,CLTR045-002,논리와 비판적 사고,3.0 ,,3.0 ,,배성민,"화1A,1B,2A 목2B,3A,3B",,,인문대학-218,독어독문학과,
,,CLTR045-003,논리와 비판적 사고,3.0 ,,3.0 ,,권홍우,"수1A,1B,2A 금2B,3A,3B",,,인문대학-211,철학과,
,,CLTR045-004,논리와 비판적 사고,3.0 ,,3.0 ,,전재원,"수8B,9A,9B 금7A,7B,8A",,,사회과학대학-552,지리학과,
,,CLTR045-005,논리와 비판적 사고,3.0 ,,3.0 ,,이상봉,"월8B,9A,9B 수7A,7B,8A",,,자연과학대학-B05,통계학과,
