학년,전공,교과코드-구분,과목명,학점,담당교수,시간,강의실
*,자유선택,SELC201-001,안보학,3,백충,"화0A,0B 1A,1B 금0A,0B 1A,1B",학군단-208
3,자유선택,SELC201-002,안보학,3,신순철,"월1A,1B 2A,2B 수1A,1B 2A,2B",상주캠퍼스 제1호관-309
4,자유선택,SELC203-001,조직리더십,3,김홍철,"화0A,0B 1A,1B 금0A,0B 1A,1B",학군단-308
4,자유선택,SELC203-002,조직리더십,3,황기석,"월1A,1B 2A,2B 수1A,1B 2A,2B",상주캠퍼스 제1호관-311
*,교양,CLTR210-001,명저읽기와 토론,3,정우락,"월7A,7B,8A 수7A,7B,8A",-
*,교양,CLTR210-002,명저읽기와 토론,3,윤재석,"화7A,7B,8A 목7A,7B,8A",KNU글로벌프라자-307
*,교양,CLTR210-003,명저읽기와 토론,3,김윤동,"월7A,7B,8A 금7A,7B,8A",인문대학-314
*,교양,CLTR210-004,명저읽기와 토론,3,박충환,"화1A,1B,2A 목2B,3A,3B",대학원동-315
*,교양,CLTR210-005,명저읽기와 토론,3,김정일,"화1A,1B,2A 목2B,3A,3B",KNU글로벌프라자-308
*,교양,CLTR001-001,국어와 매체언어,3,서은영,"월1A,1B,2A 수2B,3A,3B",인문대학-101
*,교양,CLTR001-002,국어와 매체언어,3,이수진,"월2B,3A,3B 금1A,1B,2A",인문대학-101
*,교양,CLTR053-001,한국의문학과영화,3,,"월8B,9A,9B 수7A,7B,8A",인문대학-211
*,교양,CLTR462-001,팔공산과 대구 문화의 이해,3,정우락,"화2B,3A,3B 목1A,1B,2A",인문대학-211
*,교양,CLTR501-001,한국의 언어와 문학,3,이수진,"화5B,6A,6B 목5B,6A,6B",인문대학-211
*,교양,CLTR527-001,한국문학과 사회,3,김주현,"화7A,7B,8A 목7A,7B,8A",인문대학-211
*,교양,CLTR558-001,춤과 놀이의 문화학,3,최은숙,"화1A,1B,2A 목2B,3A,3B",인문대학-211
1,교양,CLTR044-001,철학의이해,3,김경수,"수8B,9A,9B 금8B,9A,9B",인문대학-211
1,교양,CLTR205-001,대학글쓰기,3,,"월7A,7B,8A 금7A,7B,8A",인문대학-308
1,교양,CLTR205-002,대학글쓰기,3,,"월7A,7B,8A 금7A,7B,8A",KNU글로벌프라자-308
1,교양,CLTR501-002,한국의 언어와 문학,3,임태성,"월1A,1B,2A 수2B,3A,3B",인문대학-211
1,전공,KORL201-001,한국어학일반론,3,,"화7A,7B,8A 목7A,7B,8A",인문대학-428
1,전공,KORL352-001,창작의이론과실제,3,이상옥,"화8B,9A,9B 목8B,9A,9B",인문대학-423
2,전공,KORL303-001,한글문헌의이해,3,백두현,,-
2,전공심화,KORL344-001,한국어의역사,3,이장희,"월2B,3A,3B 금1A,1B,2A",인문대학-423
2,전공,KORL360-001,한국고전문학개론,3,서혜은,"월7A,7B,8A 수7A,7B,8A",인문대학-428
2,전공,KORL367-001,한국고전시가론,3,최은숙,"화8B,9A,9B 목8B,9A,9B",인문대학-428
2,전공,KORL598-001,한국현대희곡,3,김재석,"월5B,6A,6B 수5B,6A,6B",인문대학-423
3,전공심화,KORL412-001,한국어음운론,3,홍미주,"화1A,1B,2A 목2B,3A,3B",인문대학-423
3,전공,KORL443-001,한국어의미론,3,,,-
3,전공,KORL449-001,비교문학,3,이원동,"화5B,6A,6B 목5B,6A,6B",인문대학-428
3,전공,KORL450-001,한국구비문학,3,최은숙,"월8B,9A,9B 수8B,9A,9B",인문대학-428
3,전공,KORL474-001,한국고전소설사,3,서혜은,"화7A,7B,8A 목7A,7B,8A",인문대학-423
3,전공심화,KORL485-001,현대시론,3,이상옥,"월2B,3A,3B 금1A,1B,2A",인문대학-428
3,교직,TCHR465-001,국어 논리 및 논술지도,3,홍미주,"수1A,1B,2A 2B,3A,3B",인문대학-
4,전공,KORL522-001,한국어형태론,3,남길임,"화1A,1B,2A 목2B,3A,3B",인문대학-428
4,전공,KORL555-001,한국문학사상론,3,정우락,"월5B,6A,6B 수5B,6A,6B",인문대학-428
4,전공심화,KORL556-001,현대비평론,3,김주현,"월8B,9A,9B 수8B,9A,9B",인문대학-423
*,교양,CLTR021-001,시사영어,3,이대세,"월2B,3A,3B 금1A,1B,2A",대학원동-201
*,교양,CLTR034-001,영어 I,3,손영희,"월5B,6A,6B 금5B,6A,6B",대학원동-201
*,교양,CLTR035-001,영어 II,3,한재환,"화7A,7B,8A 목7A,7B,8A",대학원동-201
*,교양,CLTR402-001,영상으로 읽는 셰익스피어 문화,3,한영림,"월5B,6A,6B 금5B,6A,6B",인문대학-110
1,교양,CLTR021-002,시사영어,3,김은영,"수1A,1B,2A 금2B,3A,3B",대학원동-101
1,교양,CLTR034-002,영어 I,3,변정희,"월2B,3A,3B 금1A,1B,2A",대학원동-101
1,교양,CLTR101-001,인간과자연,3,황상일,"화8B,9A,9B 목8B,9A,9B",대학원동-101
1,융합전공,ENGL246-001,"사고와 언어, 그리고 과학과 창의성",3,김노주,"월8B,9A,9B 수7A,7B,8A",인문대학-110
1,융합전공,ENGL247-001,영문학과 신화적 상상력,3,이지현,"화5B,6A,6B 목5B,6A,6B",대학원동-101
1,전공,ENGL396-001,미국문학개관 1,3,박연옥,"화7A,7B,8A 목7A,7B,8A",대학원동-101
2,전공,ENGL245-001,영문법1,3,손일권,"월8B,9A,9B 수7A,7B,8A",대학원동-101
2,전공,ENGL245-002,영문법1,3,제갈민,"화4A,4B,5A 목4A,4B,5A",대학원동-101
2,전공,ENGL261-001,영미단편소설,3,박연옥,"화1A,1B,2A 목2B,3A,3B",대학원동-101
2,전공,ENGL271-001,근대영미희곡,3,한영림,"월4A,4B,5A 금4A,4B,5A",인문대학-110
2,전공필수,ENGL292-001,영국문학개관 1,3,최재헌,"화7A,7B,8A 목7A,7B,8A",인문대학-110
2,전공,ENGL312-001,영어음성음운론 1,3,손형숙,"화5B,6A,6B 목5B,6A,6B",대학원동-201
2,전공,ENGL351-001,르네상스시대영국시,3,최재헌,"화2B,3A,3B 목1A,1B,2A",인문대학-110
2,전공,ENGL365-001,19세기 영국소설,3,유명자,"월7A,7B,8A 금7A,7B,8A",대학원동-201
2,전공,ENGL443-001,실용영어,3,손광락,"월1A,1B,2A 수2B,3A,3B",대학원동-201
2,전공,ENGL443-002,실용영어,3,최정아,"화4A,4B,5A 목4A,4B,5A",대학원동-201
2,전공,ENGL443-003,실용영어,3,이경미,"월4A,4B,5A 금4A,4B,5A",대학원동-201
3,전공심화,ENGL281-001,비평이론,3,송진수,"월7A,7B,8A 금7A,7B,8A",인문대학-110
3,전공,ENGL348-001,전문영어강독,3,권신애,"화5B,6A,6B 목5B,6A,6B",인문대학-110
3,전공,ENGL348-002,전문영어강독,3,권은녀,"월5B,6A,6B 금5B,6A,6B",대학원동-101
3,전공,ENGL441-001,영어대화법 1,3,"거리게스, 스테판 레스터","월2B,3A,3B 금1A,1B,2A",인문대학-110
3,전공,ENGL441-002,영어대화법 1,3,"거리게스, 스테판 레스터","화1A,1B,2A 목2B,3A,3B",인문대학-110
3,전공,ENGL441-003,영어대화법 1,3,"거리게스, 스테판 레스터","화4A,4B,5A 목4A,4B,5A",인문대학-110
3,전공,ENGL441-004,영어대화법 1,3,"거리게스, 스테판 레스터","수1A,1B,2A 금2B,3A,3B",인문대학-110
3,전공,ENGL442-001,영어형태론,3,손일권,"월1A,1B,2A 수2B,3A,3B",대학원동-101
3,전공,ENGL450-001,영작문1,3,박우경,"화7A,7B,8A 목7A,7B,8A",인문대학-314
3,전공,ENGL450-002,영작문1,3,이지현,"월5B,6A,6B 금5B,6A,6B",인문대학-314
3,전공,ENGL450-003,영작문1,3,도주현,"화8B,9A,9B 목8B,9A,9B",대학원동-201
3,전공,ENGL464-001,20세기미국소설,3,한재환,"화1A,1B,2A 목2B,3A,3B",대학원동-201
3,전공,ENGL473-001,20세기영국희곡,3,김영덕,"화2B,3A,3B 목1A,1B,2A",대학원동-101
3,전공심화,ENGL531-001,영어의미론,3,김준홍,"월7A,7B,8A 금7A,7B,8A",대학원동-101
3,전공,ENGL553-001,현대영미시,3,최태숙,"월4A,4B,5A 금4A,4B,5A",대학원동-101
3,교직,TCHR473-001,영어 논리 및 논술지도,3,캐서린 조,"월1A,1B,2A 수2B,3A,3B",인문대학-314
3,교직,TCHR623-001,영어교육론,3,장종득,"화2B,3A,3B 목1A,1B,2A",대학원동-201
4,교직,TCHR522-001,학교현장실습,2,허정애,,-
*,교양,CLTR022-002,프랑스어1,3,이필수,"월2B,3A,3B 금1A,1B,2A",인문대학-205
*,교양,CLTR023-001,프랑스어2,3,이필수,"월1A,1B,2A 수2B,3A,3B",인문대학-205
*,교양,CLTR503-001,신화와 상상력,3,김성택,"월8B,9A,9B 수7A,7B,8A",인문대학-218
*,교양,CLTR630-001,문화속의 프랑스어,3,윤형연,"화1A,1B,2A 목2B,3A,3B",인문대학-101
1,교양,CLTR022-001,프랑스어1,3,김귀원,"월7A,7B,8A 수5B,6A,6B",인문대학-219
1,교양,CLTR043-001,서양의역사와문화,3,최현미,"화2B,3A,3B 목1A,1B,2A",KNU글로벌프라자-401
1,교양,CLTR045-001,논리와 비판적 사고,3,배성민,"수8B,9A,9B 금8B,9A,9B",인문대학-101
1,교양,CLTR101-002,인간과자연,3,진원형,"수1A,1B,2A 금2B,3A,3B",대학원동-201
1,교양,CLTR210-006,명저읽기와 토론,3,김성택,"화1A,1B,2A 목2B,3A,3B",인문대학-205
1,전공기초,FRAN221-001,프랑스어문법1,3,김희경,"월8B,9A,9B 수7A,7B,8A",인문대학-205
2,교양,CLTR552-001,비즈니스 프랑스어,3,"꼬이에, 나탈리","화8B,9A,9B 목8B,9A,9B",인문대학-309
2,전공기초,FRAN211-001,프랑스어회화1,3,"꼬이에, 나탈리","화1A,1B,2A 목2B,3A,3B",인문대학-219
2,전공기초,FRAN211-002,프랑스어회화1,3,"꼬이에, 나탈리","화2B,3A,3B 목1A,1B,2A",인문대학-309
2,전공기초,FRAN301-001,상상과 치유로 읽는 프랑스단편,3,윤형연,"수1A,1B,2A 금2B,3A,3B",인문대학-205
2,전공기초,FRAN311-001,프랑스어발음연습,3,김희경,"화5B,6A,6B 목5B,6A,6B",인문대학-205
2,전공필수,FRAN371-001,프랑스문학사,3,이경의,"화7A,7B,8A 목7A,7B,8A",인문대학-205
2,전공기초,FRAN421-001,프랑스어구조이해,3,이필수,"수5B,6A,6B 금5B,6A,6B",인문대학-205
3,전공,FRAN233-001,프랑스의 미디어,3,이경의,"월8B,9A,9B 수7A,7B,8A",인문대학-309
3,전공,FRAN351-001,프랑스 문화정책,3,곽동준,"월5B,6A,6B 금5B,6A,6B",인문대학-309
3,전공,FRAN356-001,프랑스어권의 정치 ㆍ 경제,3,김희경,"화7A,7B,8A 목7A,7B,8A",인문대학-309
3,전공,FRAN434-001,현대프랑스소설,3,김귀원,"화5B,6A,6B 목5B,6A,6B",인문대학-309
3,전공,FRAN449-001,프랑스역사와 사회,3,이경의,"화2B,3A,3B 목1A,1B,2A",인문대학-205
3,전공,FRAN453-001,현대프랑스시,3,김성택,"화8B,9A,9B 목8B,9A,9B",인문대학-205
3,전공,FRAN569-001,프랑스 문화비평,3,정덕재,"화1A,1B,2A 목2B,3A,3B",인문대학-309
3,전공,FRAN591-001,프랑스문화와예술,3,곽동준,"월7A,7B,8A 금7A,7B,8A",인문대학-309
*,교양,CLTR025-001,독일어2,3,,"화2B,3A,3B 목1A,1B,2A",KNU글로벌프라자-307
